Chromosome	WindowPosition	Genes_per_kb
Chr01	70500000	0.048
Chr01	71000000	0.049
Chr01	71500000	0.049
Chr01	72000000	0.0415
Chr01	72500000	0.041
Chr01	73000000	0.045
Chr01	73500000	0.054
Chr01	74000000	0.0605
Chr01	74500000	0.066
Chr01	75000000	0.0695
Chr01	75500000	0.0685
Chr01	76000000	0.0645
Chr01	76500000	0.0575
Chr01	77000000	0.0495
Chr01	77500000	0.0505
Chr01	78000000	0.057
Chr01	78500000	0.0685
Chr01	79000000	0.0765
Chr01	79500000	0.0845
Chr01	80000000	0.083
Chr01	80500000	0.0785
Chr01	81000000	0.0775
Chr01	81500000	0.068
Chr01	82000000	0.0775
Chr01	82500000	0.0725
Chr01	83000000	0.0875
Chr01	83500000	0.0965
Chr01	84000000	0.097
Chr01	84500000	0.1085
Chr01	85000000	0.102
Chr01	85500000	0.1
Chr01	86000000	0.095
Chr01	86500000	0.0975
Chr01	87000000	0.085
Chr01	87500000	0.0775
Chr01	88000000	0.0775
Chr01	88500000	0.07
Chr01	89000000	0.0815
Chr01	89500000	0.0955
Chr01	90000000	0.1015
Chr01	90500000	0.1065
Chr01	91000000	0.108
Chr01	91500000	0.11
Chr01	92000000	0.112
Chr01	92500000	0.1175
Chr01	93000000	0.1185
Chr01	93500000	0.1065
Chr01	94000000	0.106
Chr01	94500000	0.102
Chr01	95000000	0.103
Chr01	95500000	0.11
Chr01	96000000	0.1135
Chr01	96500000	0.1175
Chr01	97000000	0.1185
Chr01	97500000	0.132
Chr01	98000000	0.131
Chr01	98500000	0.14
Chr01	99000000	0.147
Chr01	99500000	0.1455
Chr01	100000000	0.1455
Chr02	1000000	0.115
Chr02	1500000	0.1305
Chr02	2000000	0.127
Chr02	2500000	0.1195
Chr02	3000000	0.1135
Chr02	3500000	0.1035
Chr02	4000000	0.0935
Chr02	4500000	0.083
Chr02	5000000	0.0715
Chr02	5500000	0.0675
Chr02	6000000	0.067
Chr02	6500000	0.0755
Chr02	7000000	0.0835
Chr02	7500000	0.086
Chr02	8000000	0.087
Chr02	8500000	0.0895
Chr02	9000000	0.082
Chr02	9500000	0.0835
Chr02	10000000	0.079
Chr02	10500000	0.074
Chr02	11000000	0.083
Chr02	11500000	0.084
Chr02	12000000	0.0915
Chr02	12500000	0.0805
Chr02	13000000	0.0755
Chr02	13500000	0.077
Chr02	14000000	0.073
Chr02	14500000	0.075
Chr02	15000000	0.071
Chr02	15500000	0.0595
Chr02	16000000	0.0565
Chr02	16500000	0.056
Chr02	17000000	0.052
Chr02	17500000	0.0565
Chr02	18000000	0.057
Chr02	18500000	0.054
Chr02	19000000	0.0555
Chr02	19500000	0.056
Chr02	20000000	0.059
Chr02	20500000	0.064
Chr02	21000000	0.059
Chr02	21500000	0.0495
Chr02	22000000	0.042
Chr02	22500000	0.0445
Chr02	23000000	0.052
Chr02	23500000	0.062
Chr02	24000000	0.0615
Chr02	24500000	0.057
Chr02	25000000	0.052
Chr02	25500000	0.0455
Chr02	26000000	0.049
Chr02	26500000	0.0505
Chr02	27000000	0.046
Chr02	27500000	0.0445
Chr02	28000000	0.04
Chr02	28500000	0.0345
Chr02	29000000	0.034
Chr02	29500000	0.034
Chr02	30000000	0.0365
Chr02	30500000	0.034
Chr02	31000000	0.0345
Chr02	31500000	0.034
Chr02	32000000	0.0295
Chr02	32500000	0.028
Chr02	33000000	0.036
Chr02	33500000	0.033
Chr02	34000000	0.037
Chr02	34500000	0.046
Chr02	35000000	0.0395
Chr02	35500000	0.0425
Chr02	36000000	0.043
Chr02	36500000	0.037
Chr02	37000000	0.038
Chr02	37500000	0.0355
Chr02	38000000	0.03
Chr02	38500000	0.03
Chr02	39000000	0.0325
Chr02	39500000	0.0315
Chr02	40000000	0.0305
Chr02	40500000	0.0265
Chr02	41000000	0.0275
Chr02	41500000	0.033
Chr02	42000000	0.037
Chr02	42500000	0.039
Chr02	43000000	0.032
Chr02	43500000	0.028
Chr02	44000000	0.024
Chr02	44500000	0.0285
Chr02	45000000	0.054
Chr02	45500000	0.054
Chr02	46000000	0.0505
Chr02	46500000	0.045
Chr02	47000000	0.031
Chr02	47500000	0.0325
Chr02	48000000	0.042
Chr02	48500000	0.0445
Chr02	49000000	0.039
Chr02	49500000	0.0435
Chr02	50000000	0.0425
Chr02	50500000	0.0445
Chr02	51000000	0.0435
Chr02	51500000	0.04
Chr02	52000000	0.0405
Chr02	52500000	0.04
Chr02	53000000	0.0385
Chr02	53500000	0.045
Chr02	54000000	0.0455
Chr02	54500000	0.049
Chr02	55000000	0.0505
Chr02	55500000	0.046
Chr02	56000000	0.052
Chr02	56500000	0.05
Chr02	57000000	0.047
Chr02	57500000	0.048
Chr02	58000000	0.043
Chr02	58500000	0.0435
Chr02	59000000	0.04
Chr02	59500000	0.034
Chr02	60000000	0.034
Chr02	60500000	0.036
Chr02	61000000	0.048
Chr02	61500000	0.0595
Chr02	62000000	0.061
Chr02	62500000	0.067
Chr02	63000000	0.0675
Chr02	63500000	0.061
Chr02	64000000	0.0695
Chr02	64500000	0.0645
Chr02	65000000	0.0655
Chr02	65500000	0.0635
Chr02	66000000	0.059
Chr02	66500000	0.06
Chr02	67000000	0.0605
Chr02	67500000	0.0655
Chr02	68000000	0.0625
Chr02	68500000	0.0575
Chr02	69000000	0.0615
Chr02	69500000	0.067
Chr02	70000000	0.0695
Chr02	70500000	0.079
Chr02	71000000	0.072
Chr02	71500000	0.0765
Chr02	72000000	0.0745
Chr02	72500000	0.0825
Chr02	73000000	0.0905
Chr02	73500000	0.094
Chr02	74000000	0.106
Chr02	74500000	0.098
Chr02	75000000	0.094
Chr02	75500000	0.0865
Chr02	76000000	0.079
Chr02	76500000	0.0795
Chr02	77000000	0.081
Chr02	77500000	0.092
Chr02	78000000	0.0885
Chr02	78500000	0.092
Chr02	79000000	0.0975
Chr02	79500000	0.0875
Chr02	80000000	0.0985
Chr02	80500000	0.0995
Chr02	81000000	0.101
Chr02	81500000	0.097
Chr02	82000000	0.0945
Chr02	82500000	0.0865
Chr02	83000000	0.0795
Chr02	83500000	0.079
Chr02	84000000	0.0765
Chr02	84500000	0.08
Chr02	85000000	0.084
Chr02	85500000	0.088
Chr02	86000000	0.0855
Chr02	86500000	0.0785
Chr02	87000000	0.088
Chr02	87500000	0.0885
Chr02	88000000	0.0975
Chr02	88500000	0.116
Chr02	89000000	0.1045
Chr02	89500000	0.106
Chr02	90000000	0.1005
Chr02	90500000	0.0945
Chr02	91000000	0.101
Chr02	91500000	0.103
Chr02	92000000	0.11
Chr02	92500000	0.1105
Chr02	93000000	0.1125
Chr02	93500000	0.117
Chr02	94000000	0.121
Chr02	94500000	0.1285
Chr02	95000000	0.1365
Chr02	95500000	0.129
Chr02	96000000	0.14
Chr02	96500000	0.128
Chr02	97000000	0.1245
Chr02	97500000	0.143
Chr02	98000000	0.13
Chr02	98500000	0.147
Chr02	99000000	0.149
Chr02	99500000	0.1455
Chr03	1000000	0.125
Chr03	1500000	0.123
Chr03	2000000	0.107
Chr03	2500000	0.1105
Chr03	3000000	0.104
Chr03	3500000	0.107
Chr03	4000000	0.12
Chr03	4500000	0.112
Chr03	5000000	0.112
Chr03	5500000	0.108
Chr03	6000000	0.0935
Chr03	6500000	0.093
Chr03	7000000	0.085
Chr03	7500000	0.0775
Chr03	8000000	0.082
Chr03	8500000	0.0875
Chr03	9000000	0.1015
Chr03	9500000	0.1135
Chr03	10000000	0.107
Chr03	10500000	0.102
Chr03	11000000	0.0975
Chr03	11500000	0.0945
Chr03	12000000	0.092
Chr03	12500000	0.0945
Chr03	13000000	0.0875
Chr03	13500000	0.084
Chr03	14000000	0.08
Chr03	14500000	0.0775
Chr03	15000000	0.072
Chr03	15500000	0.0735
Chr03	16000000	0.087
Chr03	16500000	0.0945
Chr03	17000000	0.0975
Chr03	17500000	0.0915
Chr03	18000000	0.093
Chr03	18500000	0.0935
Chr03	19000000	0.1005
Chr03	19500000	0.108
Chr03	20000000	0.1
Chr03	20500000	0.0935
Chr03	21000000	0.0925
Chr03	21500000	0.0865
Chr03	22000000	0.102
Chr03	22500000	0.105
Chr03	23000000	0.0935
Chr03	23500000	0.0905
Chr03	24000000	0.0655
Chr03	24500000	0.0555
Chr03	25000000	0.055
Chr03	25500000	0.049
Chr03	26000000	0.0595
Chr03	26500000	0.0595
Chr03	27000000	0.062
Chr03	27500000	0.061
Chr03	28000000	0.0525
Chr03	28500000	0.05
Chr03	29000000	0.047
Chr03	29500000	0.045
Chr03	30000000	0.0385
Chr03	30500000	0.03
Chr03	31000000	0.028
Chr03	31500000	0.035
Chr03	32000000	0.0425
Chr03	32500000	0.054
Chr03	33000000	0.0495
Chr03	33500000	0.045
Chr03	34000000	0.0405
Chr03	34500000	0.032
Chr03	35000000	0.038
Chr03	35500000	0.0345
Chr03	36000000	0.0325
Chr03	36500000	0.0335
Chr03	37000000	0.0275
Chr03	37500000	0.026
Chr03	38000000	0.0315
Chr03	38500000	0.027
Chr03	39000000	0.028
Chr03	39500000	0.0305
Chr03	40000000	0.029
Chr03	40500000	0.0375
Chr03	41000000	0.039
Chr03	41500000	0.04
Chr03	42000000	0.036
Chr03	42500000	0.027
Chr03	43000000	0.0275
Chr03	43500000	0.029
Chr03	44000000	0.0345
Chr03	44500000	0.035
Chr03	45000000	0.036
Chr03	45500000	0.033
Chr03	46000000	0.028
Chr03	46500000	0.0325
Chr03	47000000	0.03
Chr03	47500000	0.0275
Chr03	48000000	0.027
Chr03	48500000	0.039
Chr03	49000000	0.0505
Chr03	49500000	0.062
Chr03	50000000	0.0685
Chr03	50500000	0.057
Chr03	51000000	0.042
Chr03	51500000	0.03
Chr03	52000000	0.0245
Chr03	52500000	0.0235
Chr03	53000000	0.0305
Chr03	53500000	0.0365
Chr03	54000000	0.043
Chr03	54500000	0.0505
Chr03	55000000	0.049
Chr03	55500000	0.046
Chr03	56000000	0.0455
Chr03	56500000	0.0395
Chr03	57000000	0.0445
Chr03	57500000	0.055
Chr03	58000000	0.051
Chr03	58500000	0.0575
Chr03	59000000	0.057
Chr03	59500000	0.0555
Chr03	60000000	0.061
Chr03	60500000	0.0555
Chr03	61000000	0.062
Chr03	61500000	0.057
Chr03	62000000	0.0605
Chr03	62500000	0.0615
Chr03	63000000	0.0545
Chr03	63500000	0.06
Chr03	64000000	0.0585
Chr03	64500000	0.0655
Chr03	65000000	0.072
Chr03	65500000	0.0655
Chr03	66000000	0.0675
Chr03	66500000	0.0635
Chr03	67000000	0.066
Chr03	67500000	0.0795
Chr03	68000000	0.0795
Chr03	68500000	0.084
Chr03	69000000	0.083
Chr03	69500000	0.0855
Chr03	70000000	0.091
Chr03	70500000	0.098
Chr03	71000000	0.1
Chr03	71500000	0.093
Chr03	72000000	0.0855
Chr03	72500000	0.0825
Chr03	73000000	0.074
Chr03	73500000	0.0765
Chr03	74000000	0.079
Chr03	74500000	0.075
Chr03	75000000	0.077
Chr03	75500000	0.0805
Chr03	76000000	0.089
Chr03	76500000	0.089
Chr03	77000000	0.0915
Chr03	77500000	0.0845
Chr03	78000000	0.0745
Chr03	78500000	0.0755
Chr03	79000000	0.0785
Chr03	79500000	0.092
Chr03	80000000	0.107
Chr03	80500000	0.117
Chr03	81000000	0.1225
Chr03	81500000	0.111
Chr03	82000000	0.1075
Chr03	82500000	0.104
Chr03	83000000	0.1035
Chr03	83500000	0.1145
Chr03	84000000	0.1015
Chr03	84500000	0.1025
Chr03	85000000	0.109
Chr03	85500000	0.118
Chr03	86000000	0.14
Chr03	86500000	0.146
Chr03	87000000	0.143
Chr03	87500000	0.1405
Chr03	88000000	0.134
Chr03	88500000	0.1305
Chr03	89000000	0.1445
Chr04	1000000	0.1245
Chr04	1500000	0.13
Chr04	2000000	0.13
Chr04	2500000	0.126
Chr04	3000000	0.124
Chr04	3500000	0.124
Chr04	4000000	0.1265
Chr04	4500000	0.125
Chr04	5000000	0.1175
Chr04	5500000	0.1165
Chr04	6000000	0.111
Chr04	6500000	0.101
Chr04	7000000	0.1005
Chr04	7500000	0.0965
Chr04	8000000	0.083
Chr04	8500000	0.078
Chr04	9000000	0.086
Chr04	9500000	0.0835
Chr04	10000000	0.09
Chr04	10500000	0.089
Chr04	11000000	0.0865
Chr04	11500000	0.0855
Chr04	12000000	0.0935
Chr04	12500000	0.106
Chr04	13000000	0.095
Chr04	13500000	0.0965
Chr04	14000000	0.088
Chr04	14500000	0.091
Chr04	15000000	0.093
Chr04	15500000	0.0885
Chr04	16000000	0.084
Chr04	16500000	0.081
Chr04	17000000	0.0765
Chr04	17500000	0.0745
Chr04	18000000	0.073
Chr04	18500000	0.0625
Chr04	19000000	0.0745
Chr04	19500000	0.085
Chr04	20000000	0.089
Chr04	20500000	0.0995
Chr04	21000000	0.0855
Chr04	21500000	0.083
Chr04	22000000	0.081
Chr04	22500000	0.078
Chr04	23000000	0.084
Chr04	23500000	0.078
Chr04	24000000	0.074
Chr04	24500000	0.0605
Chr04	25000000	0.056
Chr04	25500000	0.043
Chr04	26000000	0.0415
Chr04	26500000	0.039
Chr04	27000000	0.0325
Chr04	27500000	0.035
Chr04	28000000	0.0325
Chr04	28500000	0.0335
Chr04	29000000	0.0325
Chr04	29500000	0.0335
Chr04	30000000	0.036
Chr04	30500000	0.037
Chr04	31000000	0.0415
Chr04	31500000	0.043
Chr04	32000000	0.042
Chr04	32500000	0.0465
Chr04	33000000	0.041
Chr04	33500000	0.042
Chr04	34000000	0.0395
Chr04	34500000	0.0415
Chr04	35000000	0.0425
Chr04	35500000	0.04
Chr04	36000000	0.035
Chr04	36500000	0.0265
Chr04	37000000	0.024
Chr04	37500000	0.022
Chr04	38000000	0.0265
Chr04	38500000	0.03
Chr04	39000000	0.035
Chr04	39500000	0.0385
Chr04	40000000	0.0385
Chr04	40500000	0.0395
Chr04	41000000	0.031
Chr04	41500000	0.02
Chr04	42000000	0.0205
Chr04	42500000	0.0165
Chr04	43000000	0.021
Chr04	43500000	0.0285
Chr04	44000000	0.0265
Chr04	44500000	0.0535
Chr04	45000000	0.098
Chr04	45500000	0.096
Chr04	46000000	0.089
Chr04	46500000	0.0585
Chr04	47000000	0.0175
Chr04	47500000	0.0205
Chr04	48000000	0.028
Chr04	48500000	0.0365
Chr04	49000000	0.039
Chr04	49500000	0.037
Chr04	50000000	0.035
Chr04	50500000	0.0335
Chr04	51000000	0.0285
Chr04	51500000	0.0255
Chr04	52000000	0.03
Chr04	52500000	0.0295
Chr04	53000000	0.0325
Chr04	53500000	0.0455
Chr04	54000000	0.0425
Chr04	54500000	0.0425
Chr04	55000000	0.042
Chr04	55500000	0.0385
Chr04	56000000	0.0505
Chr04	56500000	0.0495
Chr04	57000000	0.057
Chr04	57500000	0.051
Chr04	58000000	0.042
Chr04	58500000	0.043
Chr04	59000000	0.0375
Chr04	59500000	0.0425
Chr04	60000000	0.0395
Chr04	60500000	0.045
Chr04	61000000	0.047
Chr04	61500000	0.0415
Chr04	62000000	0.0455
Chr04	62500000	0.041
Chr04	63000000	0.04
Chr04	63500000	0.0435
Chr04	64000000	0.0415
Chr04	64500000	0.036
Chr04	65000000	0.036
Chr04	65500000	0.0435
Chr04	66000000	0.0455
Chr04	66500000	0.0515
Chr04	67000000	0.0585
Chr04	67500000	0.053
Chr04	68000000	0.059
Chr04	68500000	0.062
Chr04	69000000	0.063
Chr04	69500000	0.069
Chr04	70000000	0.064
Chr04	70500000	0.0735
Chr04	71000000	0.063
Chr04	71500000	0.0655
Chr04	72000000	0.066
Chr04	72500000	0.0575
Chr04	73000000	0.0605
Chr04	73500000	0.051
Chr04	74000000	0.052
Chr04	74500000	0.062
Chr04	75000000	0.0635
Chr04	75500000	0.069
Chr04	76000000	0.0725
Chr04	76500000	0.07
Chr04	77000000	0.0765
Chr04	77500000	0.082
Chr04	78000000	0.085
Chr04	78500000	0.086
Chr04	79000000	0.08
Chr04	79500000	0.077
Chr04	80000000	0.076
Chr04	80500000	0.075
Chr04	81000000	0.085
Chr04	81500000	0.0875
Chr04	82000000	0.091
Chr04	82500000	0.0955
Chr04	83000000	0.095
Chr04	83500000	0.09
Chr04	84000000	0.093
Chr04	84500000	0.0775
Chr04	85000000	0.0655
Chr04	85500000	0.074
Chr04	86000000	0.0865
Chr04	86500000	0.099
Chr04	87000000	0.1205
Chr04	87500000	0.13
Chr04	88000000	0.115
Chr05	1000000	0.157
Chr05	1500000	0.145
Chr05	2000000	0.139
Chr05	2500000	0.1405
Chr05	3000000	0.133
Chr05	3500000	0.1245
Chr05	4000000	0.1235
Chr05	4500000	0.1295
Chr05	5000000	0.132
Chr05	5500000	0.1345
Chr05	6000000	0.1285
Chr05	6500000	0.117
Chr05	7000000	0.106
Chr05	7500000	0.114
Chr05	8000000	0.1175
Chr05	8500000	0.1225
Chr05	9000000	0.124
Chr05	9500000	0.1195
Chr05	10000000	0.1165
Chr05	10500000	0.114
Chr05	11000000	0.1185
Chr05	11500000	0.1125
Chr05	12000000	0.114
Chr05	12500000	0.114
Chr05	13000000	0.118
Chr05	13500000	0.1225
Chr05	14000000	0.1255
Chr05	14500000	0.1195
Chr05	15000000	0.11
Chr05	15500000	0.1055
Chr05	16000000	0.098
Chr05	16500000	0.099
Chr05	17000000	0.097
Chr05	17500000	0.099
Chr05	18000000	0.092
Chr05	18500000	0.0835
Chr05	19000000	0.079
Chr05	19500000	0.0665
Chr05	20000000	0.0705
Chr05	20500000	0.0795
Chr05	21000000	0.079
Chr05	21500000	0.083
Chr05	22000000	0.0835
Chr05	22500000	0.075
Chr05	23000000	0.0735
Chr05	23500000	0.073
Chr05	24000000	0.0615
Chr05	24500000	0.068
Chr05	25000000	0.0705
Chr05	25500000	0.072
Chr05	26000000	0.075
Chr05	26500000	0.062
Chr05	27000000	0.0655
Chr05	27500000	0.067
Chr05	28000000	0.072
Chr05	28500000	0.083
Chr05	29000000	0.0745
Chr05	29500000	0.072
Chr05	30000000	0.063
Chr05	30500000	0.054
Chr05	31000000	0.0525
Chr05	31500000	0.053
Chr05	32000000	0.056
Chr05	32500000	0.0595
Chr05	33000000	0.0655
Chr05	33500000	0.059
Chr05	34000000	0.062
Chr05	34500000	0.0565
Chr05	35000000	0.056
Chr05	35500000	0.0645
Chr05	36000000	0.0635
Chr05	36500000	0.0625
Chr05	37000000	0.056
Chr05	37500000	0.0525
Chr05	38000000	0.052
Chr05	38500000	0.048
Chr05	39000000	0.0535
Chr05	39500000	0.053
Chr05	40000000	0.0515
Chr05	40500000	0.0575
Chr05	41000000	0.049
Chr05	41500000	0.0415
Chr05	42000000	0.0345
Chr05	42500000	0.0305
Chr05	43000000	0.0285
Chr05	43500000	0.032
Chr05	44000000	0.0355
Chr05	44500000	0.034
Chr05	45000000	0.0415
Chr05	45500000	0.0405
Chr05	46000000	0.043
Chr05	46500000	0.045
Chr05	47000000	0.039
Chr05	47500000	0.0365
Chr05	48000000	0.029
Chr05	48500000	0.0245
Chr05	49000000	0.0265
Chr05	49500000	0.028
Chr05	50000000	0.0365
Chr05	50500000	0.0365
Chr05	51000000	0.03
Chr05	51500000	0.0305
Chr05	52000000	0.024
Chr05	52500000	0.0265
Chr05	53000000	0.028
Chr05	53500000	0.0295
Chr05	54000000	0.028
Chr05	54500000	0.0305
Chr05	55000000	0.035
Chr05	55500000	0.0335
Chr05	56000000	0.0355
Chr05	56500000	0.0405
Chr05	57000000	0.044
Chr05	57500000	0.0475
Chr05	58000000	0.0525
Chr05	58500000	0.049
Chr05	59000000	0.0535
Chr05	59500000	0.058
Chr05	60000000	0.0575
Chr05	60500000	0.063
Chr05	61000000	0.061
Chr05	61500000	0.057
Chr05	62000000	0.061
Chr05	62500000	0.06
Chr05	63000000	0.0575
Chr05	63500000	0.0585
Chr05	64000000	0.0605
Chr05	64500000	0.0565
Chr05	65000000	0.0545
Chr05	65500000	0.0525
Chr05	66000000	0.0505
Chr05	66500000	0.056
Chr05	67000000	0.057
Chr05	67500000	0.0565
Chr05	68000000	0.0605
Chr05	68500000	0.0675
Chr05	69000000	0.0735
Chr05	69500000	0.071
Chr05	70000000	0.066
Chr05	70500000	0.0525
Chr05	71000000	0.05
Chr05	71500000	0.062
Chr05	72000000	0.0625
Chr05	72500000	0.0665
Chr05	73000000	0.072
Chr05	73500000	0.07
Chr05	74000000	0.086
Chr05	74500000	0.0995
Chr05	75000000	0.1055
Chr05	75500000	0.1175
Chr05	76000000	0.1
Chr05	76500000	0.096
Chr05	77000000	0.0905
Chr05	77500000	0.0795
Chr05	78000000	0.0885
Chr05	78500000	0.0825
Chr05	79000000	0.0935
Chr05	79500000	0.101
Chr05	80000000	0.103
Chr05	80500000	0.112
Chr05	81000000	0.105
Chr05	81500000	0.1115
Chr05	82000000	0.114
Chr05	82500000	0.1205
Chr05	83000000	0.117
Chr05	83500000	0.115
Chr05	84000000	0.123
Chr05	84500000	0.1165
Chr05	85000000	0.129
Chr05	85500000	0.13
Chr05	86000000	0.13
Chr05	86500000	0.146
Chr05	87000000	0.1545
Chr05	87500000	0.155
Chr06	1000000	0.1005
Chr06	1500000	0.1055
Chr06	2000000	0.096
Chr06	2500000	0.096
Chr06	3000000	0.099
Chr06	3500000	0.0975
Chr06	4000000	0.106
Chr06	4500000	0.104
Chr06	5000000	0.098
Chr06	5500000	0.085
Chr06	6000000	0.074
Chr06	6500000	0.077
Chr06	7000000	0.0755
Chr06	7500000	0.0755
Chr06	8000000	0.08
Chr06	8500000	0.0745
Chr06	9000000	0.065
Chr06	9500000	0.067
Chr06	10000000	0.0585
Chr06	10500000	0.057
Chr06	11000000	0.0585
Chr06	11500000	0.0515
Chr06	12000000	0.053
Chr06	12500000	0.0455
Chr06	13000000	0.041
Chr06	13500000	0.0415
Chr06	14000000	0.0345
Chr06	14500000	0.035
Chr06	15000000	0.0375
Chr06	15500000	0.0405
Chr06	16000000	0.047
Chr06	16500000	0.0455
Chr06	17000000	0.042
Chr06	17500000	0.042
Chr06	18000000	0.035
Chr06	18500000	0.0335
Chr06	19000000	0.0355
Chr06	19500000	0.0305
Chr06	20000000	0.103
Chr06	20500000	0.1955
Chr06	21000000	0.3185
Chr06	21500000	0.4395
Chr06	22000000	0.491
Chr06	22500000	0.539
Chr06	23000000	0.5435
Chr06	23500000	0.424
Chr06	24000000	0.3025
Chr06	24500000	0.162
Chr06	25000000	0.0305
Chr06	25500000	0.033
Chr06	26000000	0.034
Chr06	26500000	0.0475
Chr06	27000000	0.05
Chr06	27500000	0.046
Chr06	28000000	0.047
Chr06	28500000	0.0345
Chr06	29000000	0.0355
Chr06	29500000	0.0385
Chr06	30000000	0.0285
Chr06	30500000	0.022
Chr06	31000000	0.0115
Chr06	31500000	0.001
Chr06	32000000	0
Chr06	32500000	0.0005
Chr06	33000000	0.01
Chr06	33500000	0.018
Chr06	34000000	0.026
Chr06	34500000	0.0345
Chr06	35000000	0.0415
Chr06	35500000	0.045
Chr06	36000000	0.042
Chr06	36500000	0.0425
Chr06	37000000	0.0385
Chr06	37500000	0.0345
Chr06	38000000	0.0345
Chr06	38500000	0.028
Chr06	39000000	0.021
Chr06	39500000	0.017
Chr06	40000000	0.0175
Chr06	40500000	0.018
Chr06	41000000	0.017
Chr06	41500000	0.018
Chr06	42000000	0.021
Chr06	42500000	0.0225
Chr06	43000000	0.0265
Chr06	43500000	0.0265
Chr06	44000000	0.027
Chr06	44500000	0.028
Chr06	45000000	0.0255
Chr06	45500000	0.028
Chr06	46000000	0.0295
Chr06	46500000	0.0295
Chr06	47000000	0.03
Chr06	47500000	0.0335
Chr06	48000000	0.0435
Chr06	48500000	0.0505
Chr06	49000000	0.0545
Chr06	49500000	0.0525
Chr06	50000000	0.041
Chr06	50500000	0.0345
Chr06	51000000	0.0325
Chr06	51500000	0.037
Chr06	52000000	0.04
Chr06	52500000	0.05
Chr06	53000000	0.0525
Chr06	53500000	0.0555
Chr06	54000000	0.049
Chr06	54500000	0.041
Chr06	55000000	0.045
Chr06	55500000	0.0435
Chr06	56000000	0.0465
Chr06	56500000	0.0535
