SeqName	SeqLength	HitStart	HitEnd	HitLength	PercentID	E-value
Chr01	101369167	57591397	57591531	135	87.59124088	5.00E-38
Chr01	101369167	93112110	93112241	132	85.71428571	2.00E-36
Chr01	101369167	93112110	93112241	132	85.71428571	2.00E-36
Chr01	101369167	78112257	78112367	111	93.75	7.00E-36
Chr01	101369167	78112453	78112620	168	81.81818182	7.00E-36
Chr01	101369167	95291468	95291597	130	85.50724638	3.00E-35
Chr01	101369167	95291468	95291597	130	85.50724638	3.00E-35
Chr01	101369167	74589635	74589793	159	80.72289157	3.00E-34
Chr01	101369167	87594919	87595027	109	90.82568807	1.00E-32
Chr01	101369167	87594919	87595027	109	90.82568807	1.00E-32
Chr01	101369167	56228364	56228447	84	97.61904762	7.00E-30
Chr01	101369167	59729417	59729537	121	85.12396694	3.00E-28
Chr01	101369167	59729417	59729537	121	85.12396694	3.00E-28
Chr01	101369167	75309122	75309335	214	71.8487395	1.00E-27
Chr01	101369167	75309122	75309335	214	71.8487395	1.00E-27
Chr01	101369167	20002923	20003057	135	82.22222222	3.00E-27
Chr01	101369167	93974692	93974819	128	81.25	8.00E-23
Chr01	101369167	69552307	69552399	93	89.36170213	3.00E-22
Chr01	101369167	94334115	94334217	103	85.04672897	9.00E-22
Chr01	101369167	94334115	94334217	103	85.04672897	9.00E-22
Chr01	101369167	98008753	98008851	99	85.14851485	1.00E-20
Chr01	101369167	83222851	83222988	138	78.26086957	4.00E-20
Chr01	101369167	3108007	3108101	95	85.26315789	1.00E-19
Chr01	101369167	3108007	3108101	95	85.26315789	1.00E-19
Chr01	101369167	93170635	93170768	134	79.10447761	1.00E-19
Chr01	101369167	11515400	11515518	119	79.83193277	5.00E-19
Chr01	101369167	11515400	11515518	119	79.83193277	5.00E-19
Chr01	101369167	63804974	63805034	61	98.36065574	2.00E-18
Chr01	101369167	70086832	70086892	61	98.36065574	2.00E-18
Chr01	101369167	74598122	74598207	86	86.20689655	7.00E-17
Chr01	101369167	35208063	35208127	65	93.93939394	3.00E-16
Chr01	101369167	35208063	35208127	65	93.93939394	3.00E-16
Chr01	101369167	78112399	78112457	59	96.61016949	3.00E-16
Chr01	101369167	95688635	95688709	75	89.47368421	3.00E-16
Chr01	101369167	19526038	19526109	72	89.18918919	4.00E-14
Chr01	101369167	2515456	2515511	56	94.64285714	5.00E-13
Chr01	101369167	30296111	30296196	86	82.55813953	5.00E-13
Chr01	101369167	32698522	32698649	128	73.4375	2.00E-12
Chr01	101369167	86797556	86797618	63	90.625	2.00E-12
Chr01	101369167	7821	7934	114	77.39130435	6.00E-12
Chr01	101369167	7821	7934	114	77.39130435	6.00E-12
Chr01	101369167	22168431	22168544	114	77.39130435	6.00E-12
Chr01	101369167	22168431	22168544	114	77.39130435	6.00E-12
Chr01	101369167	22195875	22195988	114	77.39130435	6.00E-12
Chr01	101369167	22195875	22195988	114	77.39130435	6.00E-12
Chr01	101369167	22221703	22221816	114	77.39130435	6.00E-12
Chr01	101369167	22221703	22221816	114	77.39130435	6.00E-12
Chr01	101369167	22238547	22238660	114	77.39130435	6.00E-12
Chr01	101369167	22238547	22238660	114	77.39130435	6.00E-12
Chr01	101369167	22277604	22277717	114	77.39130435	6.00E-12
Chr01	101369167	22277604	22277717	114	77.39130435	6.00E-12
Chr01	101369167	89268502	89268550	49	97.95918367	6.00E-12
Chr01	101369167	1305071	1305123	53	94.33962264	2.00E-11
Chr01	101369167	1305071	1305123	53	94.33962264	2.00E-11
Chr01	101369167	3110543	3110620	78	83.33333333	2.00E-11
Chr01	101369167	3110543	3110620	78	83.33333333	2.00E-11
Chr01	101369167	28812457	28812539	83	81.92771084	2.00E-11
Chr01	101369167	1558	1729	172	70.34883721	7.00E-11
Chr01	101369167	1558	1729	172	70.34883721	7.00E-11
Chr01	101369167	11930	12101	172	70.34883721	7.00E-11
Chr01	101369167	11930	12101	172	70.34883721	7.00E-11
Chr01	101369167	22151850	22151963	114	76.52173913	7.00E-11
Chr01	101369167	22151850	22151963	114	76.52173913	7.00E-11
Chr01	101369167	22172539	22172710	172	70.34883721	7.00E-11
Chr01	101369167	22172539	22172710	172	70.34883721	7.00E-11
Chr01	101369167	22207726	22207897	172	70.34883721	7.00E-11
Chr01	101369167	22207726	22207897	172	70.34883721	7.00E-11
Chr01	101369167	22225811	22225982	172	70.34883721	7.00E-11
Chr01	101369167	22225811	22225982	172	70.34883721	7.00E-11
Chr01	101369167	22297881	22298052	172	70.34883721	7.00E-11
Chr01	101369167	22297881	22298052	172	70.34883721	7.00E-11
Chr01	101369167	98479957	98480008	52	94.23076923	7.00E-11
Chr01	101369167	3221142	3221192	51	92.59259259	2.00E-10
Chr01	101369167	10523811	10523858	48	95.83333333	2.00E-10
Chr01	101369167	10523811	10523858	48	95.83333333	2.00E-10
Chr01	101369167	17551583	17551646	64	84.28571429	2.00E-10
Chr01	101369167	79365354	79365404	51	92.59259259	2.00E-10
Chr01	101369167	84860194	84860249	56	91.07142857	2.00E-10
Chr01	101369167	55082861	55082991	131	74.24242424	8.00E-10
Chr01	101369167	80439070	80439111	42	100	8.00E-10
Chr01	101369167	80439070	80439111	42	100	8.00E-10
Chr01	101369167	86067588	86067668	81	81.48148148	8.00E-10
Chr01	101369167	86067588	86067668	81	81.48148148	8.00E-10
Chr01	101369167	3817401	3817456	56	89.28571429	3.00E-09
Chr01	101369167	3817325	3817392	68	83.82352941	1.00E-08
Chr01	101369167	79925223	79925275	53	90.56603774	1.00E-08
Chr01	101369167	22155959	22156130	172	69.18604651	4.00E-08
Chr01	101369167	22155959	22156130	172	69.18604651	4.00E-08
Chr01	101369167	22242636	22242807	172	69.18604651	4.00E-08
Chr01	101369167	22242636	22242807	172	69.18604651	4.00E-08
Chr01	101369167	88445227	88445270	44	95.45454545	4.00E-08
Chr01	101369167	9049411	9049566	156	71.7791411	1.00E-07
Chr01	101369167	19162314	19162351	38	100	1.00E-07
Chr01	101369167	19162314	19162351	38	100	1.00E-07
Chr01	101369167	94870661	94870773	113	74.33628319	1.00E-07
Chr01	101369167	98822329	98822427	99	76.47058824	1.00E-07
Chr01	101369167	98822329	98822427	99	76.47058824	1.00E-07
Chr01	101369167	48944893	48944982	90	78.02197802	4.00E-07
Chr01	101369167	84129061	84129102	42	95.23809524	4.00E-07
Chr01	101369167	84129061	84129102	42	95.23809524	4.00E-07
Chr01	101369167	93112065	93112106	42	95.23809524	4.00E-07
Chr01	101369167	93112065	93112106	42	95.23809524	4.00E-07
Chr01	101369167	98500588	98500627	40	97.5	4.00E-07
Chr01	101369167	61418767	61418810	44	93.18181818	1.00E-06
Chr01	101369167	89268466	89268501	36	100	1.00E-06
Chr01	101369167	93282055	93282147	93	76.84210526	1.00E-06
Chr01	101369167	93282055	93282147	93	76.84210526	1.00E-06
Chr02	100541202	13492440	13493008	569	86.46748682	0
Chr02	100541202	72452061	72452535	475	95.38784067	0
Chr02	100541202	75669078	75669797	720	82.15712383	0
Chr02	100541202	81865619	81866049	431	98.83990719	0
Chr02	100541202	81865619	81866049	431	98.83990719	0
Chr02	100541202	86313177	86314521	1345	72.2899729	0
Chr02	100541202	86313177	86314521	1345	72.2899729	0
Chr02	100541202	98856653	98857045	393	94.92385787	5.00E-171
Chr02	100541202	62652837	62653163	327	94.18960245	2.00E-138
Chr02	100541202	73632019	73632465	447	84.70066519	5.00E-133
Chr02	100541202	79884868	79885182	315	91.4556962	4.00E-121
Chr02	100541202	8931785	8932054	270	95.94095941	8.00E-118
Chr02	100541202	35885527	35885792	266	91.72661871	7.00E-106
Chr02	100541202	43062007	43062232	226	97.78761062	1.00E-102
Chr02	100541202	68493258	68493483	226	97.78761062	1.00E-102
Chr02	100541202	89720381	89720627	247	93.92712551	1.00E-101
Chr02	100541202	79741535	79741848	314	86.25	3.00E-98
Chr02	100541202	76839411	76839750	340	84.43804035	1.00E-96
Chr02	100541202	8932054	8932264	211	95.73459716	2.00E-88
Chr02	100541202	8932054	8932264	211	95.73459716	2.00E-88
Chr02	100541202	79528034	79528258	225	91.55555556	4.00E-83
Chr02	100541202	79528034	79528258	225	91.55555556	4.00E-83
Chr02	100541202	86356270	86356469	200	95	5.00E-82
Chr02	100541202	86356270	86356469	200	95	5.00E-82
Chr02	100541202	89830148	89830315	168	99.4047619	1.00E-76
Chr02	100541202	89830148	89830315	168	99.4047619	1.00E-76
Chr02	100541202	13864216	13864374	159	100	3.00E-73
Chr02	100541202	86355996	86356155	160	99.375	3.00E-72
Chr02	100541202	86314922	86315169	248	84.18972332	2.00E-67
Chr02	100541202	86314922	86315169	248	84.18972332	2.00E-67
Chr02	100541202	13864072	13864216	145	100	1.00E-65
Chr02	100541202	13864072	13864216	145	100	1.00E-65
Chr02	100541202	97237450	97237645	196	89	3.00E-65
Chr02	100541202	91145586	91145795	210	83.91304348	1.00E-64
Chr02	100541202	91145586	91145795	210	83.91304348	1.00E-64
Chr02	100541202	93862423	93862620	198	87.80487805	1.00E-64
Chr02	100541202	93862423	93862620	198	87.80487805	1.00E-64
Chr02	100541202	44350533	44350741	209	86.57407407	2.00E-62
Chr02	100541202	44392872	44393080	209	86.57407407	2.00E-62
Chr02	100541202	44435214	44435422	209	86.57407407	2.00E-62
Chr02	100541202	88797319	88797537	219	84.88888889	9.00E-60
Chr02	100541202	40772096	40772231	136	98.55072464	4.00E-58
Chr02	100541202	97579668	97579801	134	94.7761194	6.00E-50
Chr02	100541202	98257620	98257753	134	94.7761194	6.00E-50
Chr02	100541202	86356156	86356268	113	99.11504425	1.00E-46
Chr02	100541202	58050828	58050960	133	91.72932331	6.00E-43
Chr02	100541202	58050828	58050960	133	91.72932331	6.00E-43
Chr02	100541202	76909901	76910131	231	78.68852459	6.00E-43
Chr02	100541202	51214240	51214370	131	91.72932331	8.00E-42
Chr02	100541202	51214240	51214370	131	91.72932331	8.00E-42
Chr02	100541202	7705135	7705301	167	83.42857143	4.00E-39
Chr02	100541202	100422707	100422903	197	79.7979798	5.00E-38
Chr02	100541202	85873123	85873268	146	86.39455782	2.00E-37
Chr02	100541202	97236783	97236887	105	94.28571429	7.00E-36
Chr02	100541202	97236783	97236887	105	94.28571429	7.00E-36
Chr02	100541202	7704940	7705049	110	92.85714286	9.00E-35
Chr02	100541202	79576942	79577053	112	92.03539823	9.00E-35
Chr02	100541202	79576942	79577053	112	92.03539823	9.00E-35
Chr02	100541202	3507243	3507359	117	90	3.00E-34
Chr02	100541202	10483718	10483823	106	91.81818182	3.00E-34
Chr02	100541202	17951275	17951541	267	72.18543046	1.00E-33
Chr02	100541202	26316719	26316819	101	93.06930693	5.00E-32
Chr02	100541202	79276300	79276418	119	88.23529412	2.00E-31
Chr02	100541202	79276300	79276418	119	88.23529412	2.00E-31
Chr02	100541202	1116213	1116326	114	88.59649123	6.00E-31
Chr02	100541202	60925767	60925899	133	85.18518519	6.00E-31
Chr02	100541202	95402468	95402559	92	95.69892473	6.00E-31
Chr02	100541202	95402468	95402559	92	95.69892473	6.00E-31
Chr02	100541202	7015927	7016025	99	92.92929293	7.00E-30
Chr02	100541202	8919517	8919603	87	96.55172414	7.00E-30
Chr02	100541202	8920795	8920882	88	95.45454545	2.00E-29
Chr02	100541202	64066468	64066716	249	72.8	3.00E-28
Chr02	100541202	14477092	14477186	95	91.57894737	1.00E-27
Chr02	100541202	28012306	28012421	116	85.59322034	1.00E-26
Chr02	100541202	28012306	28012421	116	85.59322034	1.00E-26
Chr02	100541202	69179167	69179242	76	97.36842105	1.00E-25
Chr02	100541202	76839125	76839208	84	94.04761905	1.00E-25
Chr02	100541202	26316818	26316902	85	92.94117647	5.00E-25
Chr02	100541202	26316818	26316902	85	92.94117647	5.00E-25
Chr02	100541202	89349435	89349529	95	89.47368421	5.00E-25
Chr02	100541202	89349435	89349529	95	89.47368421	5.00E-25
Chr02	100541202	11408589	11408760	172	76.96629213	2.00E-24
Chr02	100541202	86815120	86815225	106	87.03703704	2.00E-24
Chr02	100541202	3506977	3507075	99	85.4368932	3.00E-22
Chr02	100541202	94049492	94049692	201	71.92982456	9.00E-22
Chr02	100541202	94049492	94049692	201	71.92982456	9.00E-22
Chr02	100541202	10350227	10350363	137	80.14184397	3.00E-21
Chr02	100541202	10469734	10469867	134	79.13669065	3.00E-21
Chr02	100541202	82788776	82788868	93	87.09677419	3.00E-21
Chr02	100541202	3474739	3474835	97	85.56701031	4.00E-20
Chr02	100541202	89641726	89641978	253	70.37037037	4.00E-20
Chr02	100541202	95214509	95214720	212	72.30046948	4.00E-20
Chr02	100541202	60924502	60924583	82	90.24390244	1.00E-19
Chr02	100541202	78805948	78806102	155	74.17582418	5.00E-19
Chr02	100541202	62276637	62276697	61	98.36065574	2.00E-18
Chr02	100541202	7249624	7249740	117	80.67226891	6.00E-18
Chr02	100541202	94324131	94324202	72	91.66666667	6.00E-18
Chr02	100541202	94324131	94324202	72	91.66666667	6.00E-18
Chr02	100541202	8890744	8890827	84	87.05882353	2.00E-17
Chr02	100541202	78823054	78823208	155	73.62637363	2.00E-17
Chr02	100541202	89841139	89841273	135	77.30496454	2.00E-17
Chr02	100541202	89841139	89841273	135	77.30496454	2.00E-17
Chr02	100541202	91504315	91504417	103	82.52427184	2.00E-17
Chr02	100541202	96323171	96323239	69	92.85714286	7.00E-17
Chr02	100541202	96323171	96323239	69	92.85714286	7.00E-17
Chr02	100541202	7705081	7705139	59	96.61016949	3.00E-16
Chr02	100541202	9365866	9366033	168	72.61904762	3.00E-16
Chr02	100541202	74551075	74551174	100	82	9.00E-16
Chr02	100541202	45507171	45507342	172	72.09302326	3.00E-15
Chr02	100541202	45507171	45507342	172	72.09302326	3.00E-15
Chr02	100541202	94107187	94107354	168	72.6744186	3.00E-15
Chr02	100541202	94107187	94107354	168	72.6744186	3.00E-15
Chr02	100541202	91138621	91138724	104	79.80769231	4.00E-14
Chr02	100541202	28012481	28012534	54	96.2962963	1.00E-13
Chr02	100541202	78847046	78847191	146	72	1.00E-13
Chr02	100541202	79884974	79885140	167	72.78106509	5.00E-13
Chr02	100541202	86314521	86314584	64	90.76923077	5.00E-13
Chr02	100541202	86314521	86314584	64	90.76923077	5.00E-13
Chr02	100541202	95199015	95199152	138	73.91304348	5.00E-13
Chr02	100541202	45766722	45766893	172	70.93023256	2.00E-12
Chr02	100541202	45766722	45766893	172	70.93023256	2.00E-12
Chr02	100541202	45785195	45785366	172	70.93023256	2.00E-12
Chr02	100541202	45785195	45785366	172	70.93023256	2.00E-12
Chr02	100541202	78804395	78804489	95	77.77777778	2.00E-12
Chr02	100541202	45580810	45580923	114	77.39130435	6.00E-12
Chr02	100541202	45580810	45580923	114	77.39130435	6.00E-12
Chr02	100541202	45740204	45740317	114	77.39130435	6.00E-12
Chr02	100541202	45740204	45740317	114	77.39130435	6.00E-12
Chr02	100541202	45789362	45789475	114	77.39130435	6.00E-12
Chr02	100541202	45789362	45789475	114	77.39130435	6.00E-12
Chr02	100541202	45830779	45830892	114	77.39130435	6.00E-12
Chr02	100541202	45830779	45830892	114	77.39130435	6.00E-12
Chr02	100541202	95199430	95199548	119	75.6302521	6.00E-12
Chr02	100541202	10665143	10665258	116	76.72413793	2.00E-11
Chr02	100541202	72157291	72157356	66	88.05970149	2.00E-11
Chr02	100541202	72157291	72157356	66	88.05970149	2.00E-11
Chr02	100541202	91977417	91977469	53	94.33962264	2.00E-11
Chr02	100541202	91977417	91977469	53	94.33962264	2.00E-11
Chr02	100541202	45504395	45504566	172	70.34883721	7.00E-11
Chr02	100541202	45504395	45504566	172	70.34883721	7.00E-11
Chr02	100541202	45573884	45574055	172	70.34883721	7.00E-11
Chr02	100541202	45573884	45574055	172	70.34883721	7.00E-11
Chr02	100541202	45677285	45677398	114	76.52173913	7.00E-11
Chr02	100541202	45677285	45677398	114	76.52173913	7.00E-11
Chr02	100541202	88163335	88163398	64	87.5	7.00E-11
Chr02	100541202	1394607	1394700	94	77.65957447	2.00E-10
Chr02	100541202	1394607	1394700	94	77.65957447	2.00E-10
Chr02	100541202	89789193	89789293	101	79.41176471	2.00E-10
Chr02	100541202	98665501	98665557	57	91.37931034	2.00E-10
Chr02	100541202	78821505	78821599	95	75.92592593	8.00E-10
Chr02	100541202	98399874	98399930	57	89.47368421	8.00E-10
Chr02	100541202	1394339	1394459	121	71.32867133	3.00E-09
Chr02	100541202	1394339	1394459	121	71.32867133	3.00E-09
Chr02	100541202	76360355	76360413	59	88.13559322	3.00E-09
Chr02	100541202	33395012	33395059	48	93.75	1.00E-08
Chr02	100541202	33395012	33395059	48	93.75	1.00E-08
Chr02	100541202	33677467	33677537	71	83.09859155	1.00E-08
Chr02	100541202	83989569	83989627	59	88.33333333	1.00E-08
Chr02	100541202	88779316	88779376	61	86.8852459	1.00E-08
Chr02	100541202	88779316	88779376	61	86.8852459	1.00E-08
Chr02	100541202	17881300	17881353	54	88.88888889	4.00E-08
Chr02	100541202	45491873	45491986	114	74.7826087	4.00E-08
Chr02	100541202	45491873	45491986	114	74.7826087	4.00E-08
Chr02	100541202	45868399	45868570	172	69.18604651	4.00E-08
Chr02	100541202	45868399	45868570	172	69.18604651	4.00E-08
Chr02	100541202	45889985	45890156	172	69.18604651	4.00E-08
Chr02	100541202	45889985	45890156	172	69.18604651	4.00E-08
Chr02	100541202	86355957	86355995	39	100	4.00E-08
Chr02	100541202	86355957	86355995	39	100	4.00E-08
Chr02	100541202	1511093	1511133	41	97.56097561	1.00E-07
Chr02	100541202	1511093	1511133	41	97.56097561	1.00E-07
Chr02	100541202	45884413	45884493	81	80.48780488	1.00E-07
Chr02	100541202	45884413	45884493	81	80.48780488	1.00E-07
Chr02	100541202	55222039	55222091	53	88.67924528	1.00E-07
Chr02	100541202	75345481	75345614	134	72.26277372	1.00E-07
Chr02	100541202	96539074	96539116	43	95.34883721	1.00E-07
Chr02	100541202	96539074	96539116	43	95.34883721	1.00E-07
Chr02	100541202	100398127	100398167	41	97.56097561	1.00E-07
Chr02	100541202	100398127	100398167	41	97.56097561	1.00E-07
Chr02	100541202	94717150	94717206	57	88.13559322	4.00E-07
Chr02	100541202	94717150	94717206	57	88.13559322	4.00E-07
Chr02	100541202	14917549	14917584	36	100	1.00E-06
Chr02	100541202	54272288	54272337	50	90.19607843	1.00E-06
Chr02	100541202	94411439	94411516	78	81.70731707	1.00E-06
Chr02	100541202	94411439	94411516	78	81.70731707	1.00E-06
Chr03	90149726	17393839	17394237	399	96.03960396	0
Chr03	90149726	19209725	19212359	2635	98.41628959	0
Chr03	90149726	19210949	19212359	1411	98.59055673	0
Chr03	90149726	20917459	20918766	1308	99.617737	0
Chr03	90149726	49371097	49371745	649	89.07435508	0
Chr03	90149726	49371733	49372346	614	87.51950078	0
Chr03	90149726	49372333	49372796	464	92.43697479	0
Chr03	90149726	49372798	49373532	735	93.87755102	0
Chr03	90149726	49377521	49378500	980	92.7638191	0
Chr03	90149726	49379614	49380446	833	92.86563615	0
Chr03	90149726	49380443	49382095	1653	89.63700234	0
Chr03	90149726	49382084	49382819	736	92.39130435	0
Chr03	90149726	49382929	49383542	614	89.3081761	0
Chr03	90149726	49383539	49384058	520	85.83916084	0
Chr03	90149726	49384058	49385323	1266	87.92156863	0
Chr03	90149726	49385302	49385789	488	92.49492901	0
Chr03	90149726	49385776	49387035	1260	94.36507937	0
Chr03	90149726	49387750	49388429	680	88.39160839	0
Chr03	90149726	81735011	81735365	355	99.71830986	4.00E-178
Chr03	90149726	49388433	49388866	434	92.62672811	1.00E-177
Chr03	90149726	81914758	81915160	403	92.34567901	7.00E-163
Chr03	90149726	87936028	87936417	390	91.42156863	8.00E-162
Chr03	90149726	49387026	49387387	362	93.92265193	2.00E-150
Chr03	90149726	44742945	44743345	401	88.30548926	3.00E-149
Chr03	90149726	19695839	19696130	292	100	2.00E-145
Chr03	90149726	49379266	49379622	357	93.31476323	2.00E-145
Chr03	90149726	1308456	1308738	283	98.5915493	1.00E-134
Chr03	90149726	49387374	49387665	292	93.49315068	3.00E-117
Chr03	90149726	63164106	63164431	326	86.74698795	3.00E-110
Chr03	90149726	63164106	63164431	326	86.74698795	3.00E-110
Chr03	90149726	65270075	65270356	282	92.30769231	4.00E-109
Chr03	90149726	49379006	49379266	261	90.97472924	2.00E-105
Chr03	90149726	85898472	85898797	326	85.67073171	3.00E-97
Chr03	90149726	9068132	9068465	334	83.88059701	6.00E-94
Chr03	90149726	81734352	81734551	200	99.5	6.00E-94
Chr03	90149726	87979147	87979362	216	92.12962963	6.00E-81
Chr03	90149726	49631920	49632371	452	74.67811159	3.00E-78
Chr03	90149726	49631920	49632371	452	74.67811159	3.00E-78
Chr03	90149726	77871374	77871602	229	87.55186722	1.00E-77
Chr03	90149726	77871374	77871602	229	87.55186722	1.00E-77
Chr03	90149726	68228568	68228735	168	99.4047619	1.00E-76
Chr03	90149726	81734551	81734713	163	100	2.00E-75
Chr03	90149726	81734551	81734713	163	100	2.00E-75
Chr03	90149726	9353723	9353881	159	100	3.00E-73
Chr03	90149726	81734712	81734861	150	98.66666667	1.00E-65
Chr03	90149726	81734862	81735010	149	99.33333333	1.00E-65
Chr03	90149726	81734862	81735010	149	99.33333333	1.00E-65
Chr03	90149726	26410149	26410373	225	85.77777778	3.00E-65
Chr03	90149726	19209284	19209429	146	99.31506849	1.00E-64
Chr03	90149726	67743549	67743772	224	85.46255507	4.00E-64
Chr03	90149726	67743549	67743772	224	85.46255507	4.00E-64
Chr03	90149726	27523752	27523922	171	93.06358382	2.00E-62
Chr03	90149726	27523752	27523922	171	93.06358382	2.00E-62
Chr03	90149726	49631344	49631795	452	72.68817204	3.00E-60
Chr03	90149726	49631344	49631795	452	72.68817204	3.00E-60
Chr03	90149726	11984181	11984326	146	95.89041096	4.00E-58
Chr03	90149726	11984181	11984326	146	95.89041096	4.00E-58
Chr03	90149726	12227208	12227346	139	96.42857143	7.00E-55
Chr03	90149726	74027559	74027684	126	99.20634921	9.00E-54
Chr03	90149726	11684673	11684817	145	93.79310345	3.00E-53
Chr03	90149726	11684673	11684817	145	93.79310345	3.00E-53
Chr03	90149726	78632924	78633098	175	87.22222222	2.00E-50
Chr03	90149726	78632924	78633098	175	87.22222222	2.00E-50
Chr03	90149726	81913076	81913250	175	82.38341969	2.00E-50
Chr03	90149726	49627295	49627545	251	77.39463602	2.00E-49
Chr03	90149726	49627295	49627545	251	77.39463602	2.00E-49
Chr03	90149726	65737188	65737330	143	92.30769231	2.00E-49
Chr03	90149726	65737188	65737330	143	92.30769231	2.00E-49
Chr03	90149726	18079695	18079851	157	87.42138365	3.00E-46
Chr03	90149726	22448812	22448989	178	81.21827411	3.00E-46
Chr03	90149726	67523432	67523545	114	98.24561404	3.00E-46
Chr03	90149726	67523432	67523545	114	98.24561404	3.00E-46
Chr03	90149726	85449303	85449507	205	77.21518987	1.00E-45
Chr03	90149726	85449303	85449507	205	77.21518987	1.00E-45
Chr03	90149726	86294289	86294696	408	71.46341463	1.00E-45
Chr03	90149726	86468304	86468550	247	76.66666667	2.00E-42
Chr03	90149726	86468304	86468550	247	76.66666667	2.00E-42
Chr03	90149726	57006164	57006264	101	100	8.00E-42
Chr03	90149726	47461465	47461564	100	100	3.00E-41
Chr03	90149726	87936028	87936140	113	96.49122807	3.00E-41
Chr03	90149726	16023468	16023604	137	86.89655172	9.00E-41
Chr03	90149726	16023468	16023604	137	86.89655172	9.00E-41
Chr03	90149726	85954923	85955052	130	90.83969466	9.00E-41
Chr03	90149726	85954923	85955052	130	90.83969466	9.00E-41
Chr03	90149726	16413533	16413729	197	80.3030303	1.00E-39
Chr03	90149726	49382819	49382931	113	94.73684211	1.00E-39
Chr03	90149726	65261761	65261889	129	89.47368421	1.00E-39
Chr03	90149726	35298446	35298575	130	90.07633588	4.00E-39
Chr03	90149726	35298446	35298575	130	90.07633588	4.00E-39
Chr03	90149726	10746295	10746487	193	77.61904762	1.00E-38
Chr03	90149726	11174534	11174700	167	82.85714286	5.00E-38
Chr03	90149726	12328945	12329076	132	86.42857143	5.00E-38
Chr03	90149726	12328945	12329076	132	86.42857143	5.00E-38
Chr03	90149726	88044405	88044551	147	86.39455782	2.00E-37
Chr03	90149726	20521281	20521400	120	90.83333333	6.00E-37
Chr03	90149726	87669692	87669802	111	92.79279279	2.00E-36
Chr03	90149726	87669692	87669802	111	92.79279279	2.00E-36
Chr03	90149726	87940164	87940260	97	97.95918367	2.00E-36
Chr03	90149726	58965960	58966098	139	84.3537415	7.00E-36
Chr03	90149726	58965960	58966098	139	84.3537415	7.00E-36
Chr03	90149726	15147864	15148046	183	79.36507937	3.00E-35
Chr03	90149726	11174786	11174895	110	92.85714286	9.00E-35
Chr03	90149726	3193729	3193823	95	96.84210526	3.00E-34
Chr03	90149726	3193729	3193823	95	96.84210526	3.00E-34
Chr03	90149726	4505385	4505521	137	83.44827586	1.00E-33
Chr03	90149726	4505385	4505521	137	83.44827586	1.00E-33
Chr03	90149726	87917848	87917943	96	96.93877551	1.00E-33
Chr03	90149726	44743221	44743345	125	87.2	4.00E-33
Chr03	90149726	64686408	64686537	130	84.05797101	1.00E-32
Chr03	90149726	64686408	64686537	130	84.05797101	1.00E-32
Chr03	90149726	71187560	71187721	162	80.86419753	1.00E-32
Chr03	90149726	71187560	71187721	162	80.86419753	1.00E-32
Chr03	90149726	60888326	60888507	182	77.66497462	5.00E-32
Chr03	90149726	67744286	67744408	123	86.99186992	5.00E-32
Chr03	90149726	67744286	67744408	123	86.99186992	5.00E-32
