Chromosome	WindowPosition	Coverage
Chr01	56000000	0.000979
Chr01	56250000	0.001125
Chr01	56500000	0.001316
Chr01	56750000	0.001361
Chr01	57000000	0.001013
Chr01	57250000	0.001097
Chr01	57500000	0.000906
Chr01	57750000	0.001371
Chr01	58000000	0.001371
Chr01	58250000	0.001043
Chr01	58500000	0.001509
Chr01	58750000	0.001396
Chr01	59000000	0.002495
Chr01	59250000	0.002738
Chr01	59500000	0.002474
Chr01	59750000	0.002381
Chr01	60000000	0.001576
Chr01	60250000	0.000948
Chr01	60500000	0.001322
Chr01	60750000	0.001225
Chr01	61000000	0.001572
Chr01	61250000	0.001994
Chr01	61500000	0.002351
Chr01	61750000	0.00244
Chr01	62000000	0.003144
Chr01	62250000	0.002858
Chr01	62500000	0.002311
Chr01	62750000	0.004737
Chr01	63000000	0.003392
Chr01	63250000	0.003404
Chr01	63500000	0.00319
Chr01	63750000	0.002121
Chr01	64000000	0.002609
Chr01	64250000	0.002461
Chr01	64500000	0.00258
Chr01	64750000	0.000893
Chr01	65000000	0.000659
Chr01	65250000	0.000759
Chr01	65500000	0.000752
Chr01	65750000	0.001573
Chr01	66000000	0.001898
Chr01	66250000	0.001972
Chr01	66500000	0.001688
Chr01	66750000	0.000753
Chr01	67000000	0.000416
Chr01	67250000	0.000483
Chr01	67500000	0.000483
Chr01	67750000	0.000809
Chr01	68000000	0.002126
Chr01	68250000	0.002064
Chr01	68500000	0.0024
Chr01	68750000	0.002698
Chr01	69000000	0.001595
Chr01	69250000	0.001507
Chr01	69500000	0.001272
Chr01	69750000	0.001197
Chr01	70000000	0.000983
Chr01	70250000	0.000892
Chr01	70500000	0.001047
Chr01	70750000	0.000835
Chr01	71000000	0.000749
Chr01	71250000	0.002432
Chr01	71500000	0.002685
Chr01	71750000	0.002653
Chr01	72000000	0.002802
Chr01	72250000	0.001311
Chr01	72500000	0.000893
Chr01	72750000	0.000918
Chr01	73000000	0.000723
Chr01	73250000	0.000958
Chr01	73500000	0.00147
Chr01	73750000	0.001368
Chr01	74000000	0.001258
Chr01	74250000	0.001317
Chr01	74500000	0.001099
Chr01	74750000	0.000974
Chr01	75000000	0.001269
Chr01	75250000	0.001001
Chr01	75500000	0.001084
Chr01	75750000	0.001588
Chr01	76000000	0.001293
Chr01	76250000	0.001163
Chr01	76500000	0.001393
Chr01	76750000	0.001014
Chr01	77000000	0.00109
Chr01	77250000	0.001316
Chr01	77500000	0.00118
Chr01	77750000	0.001284
Chr01	78000000	0.00145
Chr01	78250000	0.001251
Chr01	78500000	0.001201
Chr01	78750000	0.001275
Chr01	79000000	0.0015
Chr01	79250000	0.002243
Chr01	79500000	0.00222
Chr01	79750000	0.002198
Chr01	80000000	0.002499
Chr01	80250000	0.001849
Chr01	80500000	0.00136
Chr01	80750000	0.001213
Chr01	81000000	0.000674
Chr01	81250000	0.000466
Chr01	81500000	0.000466
Chr01	81750000	0.00031
Chr01	82000000	8.1e-05
Chr01	82250000	0.000595
Chr01	82500000	0.000793
Chr01	82750000	0.000822
Chr01	83000000	0.001056
Chr01	83250000	0.000542
Chr01	83500000	0.000573
Chr01	83750000	0.000742
Chr01	84000000	0.000554
Chr01	84250000	0.000642
Chr01	84500000	0.000751
Chr01	84750000	0.000771
Chr01	85000000	0.000725
Chr01	85250000	0.001772
Chr01	85500000	0.002001
Chr01	85750000	0.002291
Chr01	86000000	0.002291
Chr01	86250000	0.00123
Chr01	86500000	0.000663
Chr01	86750000	0.00069
Chr01	87000000	0.00069
Chr01	87250000	0.000876
Chr01	87500000	0.000876
Chr01	87750000	0.000495
Chr01	88000000	0.00069
Chr01	88250000	0.000824
Chr01	88500000	0.000985
Chr01	88750000	0.000831
Chr01	89000000	0.000636
Chr01	89250000	0.000431
Chr01	89500000	0.000498
Chr01	89750000	0.000458
Chr01	90000000	0.000914
Chr01	90250000	0.000725
Chr01	90500000	0.001269
Chr01	90750000	0.001322
Chr01	91000000	0.000866
Chr01	91250000	0.001001
Chr01	91500000	0.000385
Chr01	91750000	0.000475
Chr01	92000000	0.001006
Chr01	92250000	0.000996
Chr01	92500000	0.0015
Chr01	92750000	0.001704
Chr01	93000000	0.001629
Chr01	93250000	0.001668
Chr01	93500000	0.001142
Chr01	93750000	0.000754
Chr01	94000000	0.000298
Chr01	94250000	0.000417
Chr01	94500000	0.000586
Chr01	94750000	0.001142
Chr01	95000000	0.001468
Chr01	95250000	0.001185
Chr01	95500000	0.001311
Chr01	95750000	0.000755
Chr01	96000000	0.000946
Chr01	96250000	0.001172
Chr01	96500000	0.000743
Chr01	96750000	0.000743
Chr01	97000000	0.000226
Chr01	97250000	0.000376
Chr01	97500000	0.000376
Chr01	97750000	0.000622
Chr01	98000000	0.001007
Chr01	98250000	0.000631
Chr01	98500000	0.000915
Chr01	98750000	0.000784
Chr01	99000000	0.000399
Chr01	99250000	0.000399
Chr01	99500000	0.000252
Chr01	99750000	0.000337
Chr01	100000000	0.000337
Chr01	100250000	0.000452
Chr01	100500000	0.000458
Chr01	100750000	0.000258
Chr02	500000	0.001272
Chr02	750000	0.001869
Chr02	1000000	0.001588
Chr02	1250000	0.00289
Chr02	1500000	0.002642
Chr02	1750000	0.002359
Chr02	2000000	0.002338
Chr02	2250000	0.000723
Chr02	2500000	0.000723
Chr02	2750000	0.000409
Chr02	3000000	0.000324
Chr02	3250000	0.000345
Chr02	3500000	0.000737
Chr02	3750000	0.001026
Chr02	4000000	0.001218
Chr02	4250000	0.00097
Chr02	4500000	0.000578
Chr02	4750000	0.000374
Chr02	5000000	0.004796
Chr02	5250000	0.004993
Chr02	5500000	0.00504
Chr02	5750000	0.004955
Chr02	6000000	0.000393
Chr02	6250000	0.000196
Chr02	6500000	0.000149
Chr02	6750000	0.000917
Chr02	7000000	0.001061
Chr02	7250000	0.001438
Chr02	7500000	0.001918
Chr02	7750000	0.001338
Chr02	8000000	0.001287
Chr02	8250000	0.001256
Chr02	8500000	0.000776
Chr02	8750000	0.000815
Chr02	9000000	0.001151
Chr02	9250000	0.002041
Chr02	9500000	0.002269
Chr02	9750000	0.002295
Chr02	10000000	0.001854
Chr02	10250000	0.000871
Chr02	10500000	0.002531
Chr02	10750000	0.002278
Chr02	11000000	0.002809
Chr02	11250000	0.002934
Chr02	11500000	0.002015
Chr02	11750000	0.003161
Chr02	12000000	0.003714
Chr02	12250000	0.003696
Chr02	12500000	0.003378
Chr02	12750000	0.002269
Chr02	13000000	0.001532
Chr02	13250000	0.001172
Chr02	13500000	0.000731
Chr02	13750000	0.000802
Chr02	14000000	0.00056
Chr02	14250000	0.000808
Chr02	14500000	0.000753
Chr02	14750000	0.000645
Chr02	15000000	0.00048
Chr02	15250000	0.000489
Chr02	15500000	0.000741
Chr02	15750000	0.001106
Chr02	16000000	0.001127
Chr02	16250000	0.001338
Chr02	16500000	0.001138
Chr02	16750000	0.000773
Chr02	17000000	0.00121
Chr02	17250000	0.000742
Chr02	17500000	0.000819
Chr02	17750000	0.000938
Chr02	18000000	0.000687
Chr02	18250000	0.000793
Chr02	18500000	0.001088
Chr02	18750000	0.001298
Chr02	19000000	0.001084
Chr02	19250000	0.000978
Chr02	19500000	0.000798
Chr02	19750000	0.000918
Chr02	20000000	0.000848
Chr02	20250000	0.002193
Chr02	20500000	0.002095
Chr02	20750000	0.002521
Chr02	21000000	0.002521
Chr02	21250000	0.001278
Chr02	21500000	0.001497
Chr02	21750000	0.000852
Chr02	22000000	0.001063
Chr02	22250000	0.00164
Chr02	22500000	0.001685
Chr02	22750000	0.001455
Chr02	23000000	0.001336
Chr02	23250000	0.000954
Chr02	23500000	0.000577
Chr02	23750000	0.000577
Chr02	24000000	0.000741
Chr02	24250000	0.001372
Chr02	24500000	0.001477
Chr02	24750000	0.001816
Chr02	25000000	0.002174
Chr02	25250000	0.001399
Chr02	25500000	0.001106
Chr02	25750000	0.000943
Chr02	26000000	0.00043
Chr02	26250000	0.001215
Chr02	26500000	0.001215
Chr02	26750000	0.001039
Chr02	27000000	0.000938
Chr02	27250000	7.5e-05
Chr02	27500000	0.000479
Chr02	27750000	0.000642
Chr02	28000000	0.000642
Chr02	28250000	0.000567
Chr02	28500000	0.000325
Chr02	28750000	0.000162
Chr02	29000000	0.000687
Chr02	29250000	0.000687
Chr02	29500000	0.001363
Chr02	29750000	0.002234
Chr02	30000000	0.001789
Chr02	30250000	0.001789
Chr02	30500000	0.002824
Chr02	30750000	0.001953
Chr02	31000000	0.002151
Chr02	31250000	0.010725
Chr02	31500000	0.008852
Chr02	31750000	0.008907
Chr02	32000000	0.008731
Chr02	32250000	0.000157
Chr02	32500000	0.000157
Chr02	32750000	0.001456
Chr02	33000000	0.001427
Chr02	33250000	0.001889
Chr02	33500000	0.001889
Chr02	33750000	0.000749
Chr02	34000000	0.000676
Chr02	34250000	0.001497
Chr02	34500000	0.002239
Chr02	34750000	0.002025
Chr02	35000000	0.00376
Chr02	35250000	0.002591
Chr02	35500000	0.001849
Chr02	35750000	0.002077
Chr02	36000000	0.001104
Chr02	36250000	0.00141
Chr02	36500000	0.002085
Chr02	36750000	0.001857
Chr02	37000000	0.001095
Chr02	37250000	0.000836
Chr02	37500000	0.000161
Chr02	37750000	0.000517
Chr02	38000000	0.000684
Chr02	38250000	0.001805
Chr02	38500000	0.002109
Chr02	38750000	0.001753
Chr02	39000000	0.00226
Chr02	39250000	0.000978
Chr02	39500000	0.001049
Chr02	39750000	0.001264
Chr02	40000000	0.00059
Chr02	40250000	0.00059
Chr02	40500000	0.000608
Chr02	40750000	0.000393
Chr02	41000000	0.000484
Chr02	41250000	0.00053
Chr02	41500000	0.000137
Chr02	41750000	0.000961
Chr02	42000000	0.000921
Chr02	42250000	0.000875
Chr02	42500000	0.000926
Chr02	42750000	0.000587
Chr02	43000000	0.000876
Chr02	43250000	0.000876
Chr02	43500000	0.000915
Chr02	43750000	0.000497
Chr02	44000000	0.000784
Chr02	44250000	0.001012
Chr02	44500000	0.000922
Chr02	44750000	0.000855
Chr02	45000000	0.000787
Chr02	45250000	0.004823
Chr02	45500000	0.008387
Chr02	45750000	0.008387
Chr02	46000000	0.008115
Chr02	46250000	0.003851
Chr02	46500000	0.000287
Chr02	46750000	0.000287
Chr02	47000000	0.000265
Chr02	47250000	0.000653
Chr02	47500000	0.001163
Chr02	47750000	0.001163
Chr02	48000000	0.001094
Chr02	48250000	0.001035
Chr02	48500000	0.000709
Chr02	48750000	0.000709
Chr02	49000000	0.000593
Chr02	49250000	0.000264
Chr02	49500000	8e-05
Chr02	49750000	8e-05
Chr02	50000000	0
Chr02	50250000	0.000242
Chr02	50500000	0.000242
Chr02	50750000	0.000242
Chr02	51000000	0.000242
Chr02	51250000	0.000103
Chr02	51500000	0.000148
Chr02	51750000	0.000193
Chr02	52000000	0.000193
Chr02	52250000	9e-05
Chr02	52500000	0.000645
Chr02	52750000	0.000941
Chr02	53000000	0.001168
Chr02	53250000	0.001361
Chr02	53500000	0.000858
Chr02	53750000	0.003211
Chr02	54000000	0.003129
Chr02	54250000	0.003428
Chr02	54500000	0.003331
Chr02	54750000	0.000637
Chr02	55000000	0.001058
Chr02	55250000	0.001032
Chr02	55500000	0.001497
Chr02	55750000	0.001978
Chr02	56000000	0.001928
Chr02	56250000	0.001462
Chr02	56500000	0.0014
Chr02	56750000	0.000919
Chr02	57000000	0.000403
Chr02	57250000	0.001251
Chr02	57500000	0.000848
Chr02	57750000	0.000848
Chr02	58000000	0.000927
Chr02	58250000	7.9e-05
Chr02	58500000	0.00081
Chr02	58750000	0.000981
Chr02	59000000	0.001462
Chr02	59250000	0.002439
Chr02	59500000	0.00207
Chr02	59750000	0.002072
Chr02	60000000	0.001571
Chr02	60250000	0.000958
Chr02	60500000	0.000866
Chr02	60750000	0.000693
Chr02	61000000	0.000634
Chr02	61250000	0.00027
Chr02	61500000	0.001055
Chr02	61750000	0.001378
Chr02	62000000	0.002727
Chr02	62250000	0.003085
Chr02	62500000	0.00203
Chr02	62750000	0.001758
Chr02	63000000	0.000509
Chr02	63250000	0.000151
Chr02	63500000	0.000473
Chr02	63750000	0.002091
Chr02	64000000	0.001991
Chr02	64250000	0.011362
Chr02	64500000	0.012133
Chr02	64750000	0.010536
Chr02	65000000	0.010536
Chr02	65250000	0.001165
Chr02	65500000	0.001387
Chr02	65750000	0.002522
Chr02	66000000	0.003165
Chr02	66250000	0.003906
Chr02	66500000	0.002861
Chr02	66750000	0.001763
Chr02	67000000	0.001407
Chr02	67250000	0.00253
Chr02	67500000	0.00226
Chr02	67750000	0.002273
Chr02	68000000	0.002912
Chr02	68250000	0.002417
Chr02	68500000	0.002717
Chr02	68750000	0.002989
Chr02	69000000	0.002063
Chr02	69250000	0.001141
Chr02	69500000	0.000841
Chr02	69750000	0.000447
Chr02	70000000	0.000596
Chr02	70250000	0.000149
Chr02	70500000	0.000564
Chr02	70750000	0.000959
Chr02	71000000	0.001642
Chr02	71250000	0.00198
Chr02	71500000	0.002054
Chr02	71750000	0.00228
Chr02	72000000	0.001757
Chr02	72250000	0.001738
Chr02	72500000	0.001632
Chr02	72750000	0.001736
Chr02	73000000	0.001808
Chr02	73250000	0.002089
Chr02	73500000	0.001706
Chr02	73750000	0.000981
Chr02	74000000	0.00103
Chr02	74250000	0.001759
Chr02	74500000	0.001759
Chr02	74750000	0.001759
Chr02	75000000	0.001506
Chr02	75250000	0.002059
Chr02	75500000	0.002113
Chr02	75750000	0.002361
Chr02	76000000	0.002184
Chr02	76250000	0.000433
Chr02	76500000	0.000675
Chr02	76750000	0.000498
Chr02	77000000	0.00059
Chr02	77250000	0.001121
Chr02	77500000	0.000825
Chr02	77750000	0.000837
Chr02	78000000	0.000868
Chr02	78250000	0.000375
Chr02	78500000	0.000375
Chr02	78750000	0.000376
Chr02	79000000	0.000915
Chr02	79250000	0.001086
Chr02	79500000	0.002503
Chr02	79750000	0.002793
Chr02	80000000	0.002426
Chr02	80250000	0.002086
Chr02	80500000	0.000724
Chr02	80750000	0.000468
Chr02	81000000	0.000399
Chr02	81250000	0.000399
Chr02	81500000	0.001001
Chr02	81750000	0.00136
Chr02	82000000	0.001256
Chr02	82250000	0.001256
Chr02	82500000	0.000718
Chr02	82750000	0.000411
Chr02	83000000	0.000361
Chr02	83250000	0.000666
Chr02	83500000	0.000969
Chr02	83750000	0.001319
Chr02	84000000	0.001602
Chr02	84250000	0.001297
Chr02	84500000	0.001241
Chr02	84750000	0.000901
Chr02	85000000	0.000644
Chr02	85250000	0.000718
Chr02	85500000	0.000352
Chr02	85750000	0.000374
Chr02	86000000	0.000342
Chr02	86250000	0.000519
Chr02	86500000	0.000625
Chr02	86750000	0.000629
Chr02	87000000	0.001959
Chr02	87250000	0.002603
Chr02	87500000	0.002548
Chr02	87750000	0.002454
Chr02	88000000	0.001538
Chr02	88250000	0.000936
Chr02	88500000	0.001195
Chr02	88750000	0.00124
Chr02	89000000	0.001311
Chr02	89250000	0.001169
Chr02	89500000	0.002241
Chr02	89750000	0.002084
Chr02	90000000	0.001745
Chr02	90250000	0.001594
Chr02	90500000	0.000212
Chr02	90750000	0.000573
Chr02	91000000	0.001432
Chr02	91250000	0.001519
Chr02	91500000	0.00183
Chr02	91750000	0.001616
Chr02	92000000	0.000628
Chr02	92250000	0.001256
Chr02	92500000	0.001018
Chr02	92750000	0.000871
Chr02	93000000	0.001
Chr02	93250000	0.000428
Chr02	93500000	0.000355
Chr02	93750000	0.000355
Chr02	94000000	0.0002
Chr02	94250000	0.000227
Chr02	94500000	0.000227
Chr02	94750000	0.000316
Chr02	95000000	0.000976
Chr02	95250000	0.00122
Chr02	95500000	0.00122
Chr02	95750000	0.001197
Chr02	96000000	0.000556
Chr02	96250000	0.000846
Chr02	96500000	0.000923
Chr02	96750000	0.001081
Chr02	97000000	0.001005
Chr02	97250000	0.001288
Chr02	97500000	0.001289
Chr02	97750000	0.001296
Chr02	98000000	0.002592
Chr02	98250000	0.001605
Chr02	98500000	0.001576
Chr02	98750000	0.001345
Chr02	99000000	4.9e-05
Chr02	99250000	4.9e-05
Chr02	99500000	0
Chr02	99750000	0
Chr02	100000000	0.000187
Chr03	500000	0.000868
Chr03	750000	0.000868
Chr03	1000000	0.000285
Chr03	1250000	0.000264
Chr03	1500000	0.000264
Chr03	1750000	0.000264
Chr03	2000000	0.000199
Chr03	2250000	0.001462
Chr03	2500000	0.001562
Chr03	2750000	0.001725
Chr03	3000000	0.00189
Chr03	3250000	0.000428
Chr03	3500000	0.000442
Chr03	3750000	0.000279
Chr03	4000000	0.000114
Chr03	4250000	0.000291
Chr03	4500000	0.000426
Chr03	4750000	0.000655
Chr03	5000000	0.000968
Chr03	5250000	0.000861
Chr03	5500000	0.00079
Chr03	5750000	0.0006
Chr03	6000000	0.000343
Chr03	6250000	0.000328
Chr03	6500000	0.00015
Chr03	6750000	0.000111
Chr03	7000000	0.000601
Chr03	7250000	0.000546
Chr03	7500000	0.000774
Chr03	7750000	0.000774
Chr03	8000000	0.000603
Chr03	8250000	0.001368
Chr03	8500000	0.00114
Chr03	8750000	0.004555
Chr03	9000000	0.004242
Chr03	9250000	0.004005
Chr03	9500000	0.004324
Chr03	9750000	0.001102
Chr03	10000000	0.001895
Chr03	10250000	0.002164
Chr03	10500000	0.001845
Chr03	10750000	0.002143
Chr03	11000000	0.001399
Chr03	11250000	0.001006
Chr03	11500000	0.001354
Chr03	11750000	0.001183
Chr03	12000000	0.001482
Chr03	12250000	0.001383
Chr03	12500000	0.001035
Chr03	12750000	0.001053
Chr03	13000000	0.000643
Chr03	13250000	0.001228
Chr03	13500000	0.001537
Chr03	13750000	0.001469
Chr03	14000000	0.00168
Chr03	14250000	0.000923
Chr03	14500000	0.000886
Chr03	14750000	0.000747
Chr03	15000000	0.000536
Chr03	15250000	0.001328
Chr03	15500000	0.001056
Chr03	15750000	0.002616
Chr03	16000000	0.003316
Chr03	16250000	0.002991
Chr03	16500000	0.003233
Chr03	16750000	0.001804
Chr03	17000000	0.002968
Chr03	17250000	0.002758
Chr03	17500000	0.002739
Chr03	17750000	0.002972
Chr03	18000000	0.001108
Chr03	18250000	0.000718
Chr03	18500000	0.000558
Chr03	18750000	0.000588
Chr03	19000000	0.000588
Chr03	19250000	0.001456
Chr03	19500000	0.001928
Chr03	19750000	0.001403
Chr03	20000000	0.001403
Chr03	20250000	0.000535
Chr03	20500000	0.001188
Chr03	20750000	0.001188
Chr03	21000000	0.001606
Chr03	21250000	0.001848
Chr03	21500000	0.000787
Chr03	21750000	0.000787
Chr03	22000000	0.000369
Chr03	22250000	0.000178
Chr03	22500000	0.000342
Chr03	22750000	0.001123
Chr03	23000000	0.001385
Chr03	23250000	0.001517
Chr03	23500000	0.001226
Chr03	23750000	0.000445
Chr03	24000000	0.000183
Chr03	24250000	0.000306
Chr03	24500000	0.000306
Chr03	24750000	0.000418
Chr03	25000000	0.000758
Chr03	25250000	0.000731
Chr03	25500000	0.000731
Chr03	25750000	0.000678
Chr03	26000000	0.000626
Chr03	26250000	0.000649
Chr03	26500000	0.000801
Chr03	26750000	0.001104
Chr03	27000000	0.001643
Chr03	27250000	0.001341
Chr03	27500000	0.001189
Chr03	27750000	0.002019
Chr03	28000000	0.001453
Chr03	28250000	0.001612
Chr03	28500000	0.001782
Chr03	28750000	0.001208
Chr03	29000000	0.001155
Chr03	29250000	0.001311
Chr03	29500000	0.001422
Chr03	29750000	0.000954
Chr03	30000000	0.000746
Chr03	30250000	0.000642
Chr03	30500000	0.000487
Chr03	30750000	0.000337
Chr03	31000000	0.000337
Chr03	31250000	0.000126
Chr03	31500000	8.3e-05
Chr03	31750000	8.3e-05
Chr03	32000000	0.000516
Chr03	32250000	0.000899
Chr03	32500000	0.000816
Chr03	32750000	0.001229
Chr03	33000000	0.001109
Chr03	33250000	0.001388
Chr03	33500000	0.001388
Chr03	33750000	0.000975
Chr03	34000000	0.001557
Chr03	34250000	0.000895
Chr03	34500000	0.000895
Chr03	34750000	0.001053
Chr03	35000000	0.000213
Chr03	35250000	0.000307
Chr03	35500000	0.000307
Chr03	35750000	0.000149
Chr03	36000000	9.4e-05
Chr03	36250000	0
Chr03	36500000	7.2e-05
Chr03	36750000	0.000131
Chr03	37000000	0.001471
Chr03	37250000	0.001471
Chr03	37500000	0.002353
Chr03	37750000	0.002294
Chr03	38000000	0.000954
Chr03	38250000	0.000954
Chr03	38500000	0.000227
Chr03	38750000	0.000227
Chr03	39000000	0.000227
Chr03	39250000	0.011234
Chr03	39500000	0.027621
Chr03	39750000	0.027621
Chr03	40000000	0.0283
Chr03	40250000	0.018078
Chr03	40500000	0.001996
Chr03	40750000	0.001996
Chr03	41000000	0.002776
Chr03	41250000	0.003531
Chr03	41500000	0.002999
Chr03	41750000	0.003061
Chr03	42000000	0.001602
Chr03	42250000	0.000205
Chr03	42500000	0.000205
Chr03	42750000	0.000143
Chr03	43000000	0.000631
Chr03	43250000	0.000488
Chr03	43500000	0.000561
Chr03	43750000	0.000561
Chr03	44000000	0.000462
Chr03	44250000	0.001632
Chr03	44500000	0.001817
Chr03	44750000	0.001984
Chr03	45000000	0.002183
Chr03	45250000	0.001255
Chr03	45500000	0.001295
Chr03	45750000	0.001917
Chr03	46000000	0.001329
Chr03	46250000	0.001545
Chr03	46500000	0.004249
Chr03	46750000	0.00346
Chr03	47000000	0.007889
Chr03	47250000	0.007961
Chr03	47500000	0.005068
Chr03	47750000	0.00526
Chr03	48000000	0.001057
Chr03	48250000	0.001328
Chr03	48500000	0.001759
Chr03	48750000	0.001963
Chr03	49000000	0.096536
Chr03	49250000	0.192282
Chr03	49500000	0.191742
